id,timestamp,symbol,direction,trade_type,confidence,gate_score,strike,expiry,option_type,premium,iv,entry_zone,stop_loss,target_1,target_2,rr_ratio,regime_type,vix_level,rsi_value,pcr_value
edb0af57-c11c-4ca1-bbf4-6e7de0265c94,2026-05-08T10:30:01.845139,MPHASIS,PUT,INTRADAY,A-,75.0,,,,,,Premium breakdown below 2209.60 zone,Spot reclaims VWAP or 2220.65,2198.55 (1:1 RR),2187.50 (1:2 RR),1:2,RANGEBOUND,15.0,66.1238133610278,0.62
e8d4556c-719e-4901-a547-90bfb7eb96ba,2026-05-08T10:45:23.504941,NESTLEIND,CALL,INTRADAY,A-,65.0,,,,,,Premium breakout above 1493.70 zone,Spot closes below VWAP or 1486.23,1501.17 (1:1 RR),1508.64 (1:2 RR),1:2,RANGEBOUND,15.0,83.70868759619488,1.05
9f1619e7-2432-40ac-8f03-6e63d3b51fd6,2026-05-08T10:50:01.404628,NESTLEIND,CALL,INTRADAY,A-,65.0,,,,,,Premium breakout above 1494.50 zone,Spot closes below VWAP or 1487.03,1501.97 (1:1 RR),1509.44 (1:2 RR),1:2,RANGEBOUND,15.0,83.70868759619488,1.05
bc3ddd92-da26-474a-af8b-79d496221559,2026-05-08T10:55:23.648005,NESTLEIND,CALL,INTRADAY,A-,65.0,,,,,,Premium breakout above 1492.90 zone,Spot closes below VWAP or 1485.44,1500.36 (1:1 RR),1507.83 (1:2 RR),1:2,RANGEBOUND,15.0,77.60317359045078,1.03
ecdbb9e1-382b-45a7-aba2-e194d3e3d749,2026-05-08T11:00:53.655117,NESTLEIND,CALL,INTRADAY,A-,65.0,,,,,,Premium breakout above 1494.20 zone,Spot closes below VWAP or 1486.73,1501.67 (1:1 RR),1509.14 (1:2 RR),1:2,RANGEBOUND,15.0,77.21070901206038,1.04
30cd5edf-b10e-4f2f-867e-7aa4e61583b0,2026-05-08T11:00:58.096526,PNB,PUT,INTRADAY,A-,65.0,,,,,,Premium breakdown below 108.07 zone,Spot reclaims VWAP or 108.61,107.53 (1:1 RR),106.99 (1:2 RR),1:2,RANGEBOUND,15.0,25.50794949967532,0.65
a7cca104-5851-40d5-8750-09d29f4f6634,2026-05-08T11:05:02.794541,NESTLEIND,CALL,INTRADAY,A-,65.0,,,,,,Premium breakout above 1494.70 zone,Spot closes below VWAP or 1487.23,1502.17 (1:1 RR),1509.65 (1:2 RR),1:2,RANGEBOUND,15.0,77.21070901206038,1.04
22d10538-036e-4721-921b-f86f1762ccee,2026-05-08T11:05:03.160544,PNB,PUT,INTRADAY,A-,65.0,,,,,,Premium breakdown below 108.20 zone,Spot reclaims VWAP or 108.74,107.66 (1:1 RR),107.12 (1:2 RR),1:2,RANGEBOUND,15.0,25.50794949967532,0.65
a324b9ac-98cc-488b-8963-58ded8c5e8d9,2026-05-08T11:10:24.006942,NESTLEIND,CALL,INTRADAY,A-,65.0,,,,,,Premium breakout above 1494.10 zone,Spot closes below VWAP or 1486.63,1501.57 (1:1 RR),1509.04 (1:2 RR),1:2,RANGEBOUND,15.0,76.5144415487698,1.04
41e0cce0-5dfc-42ae-b149-c8e9021231bd,2026-05-08T11:10:26.122431,MPHASIS,PUT,INTRADAY,B,60.0,,,,,,Premium breakdown below 2205.00 zone,Spot reclaims VWAP or 2216.03,2193.97 (1:1 RR),2182.95 (1:2 RR),1:2,RANGEBOUND,15.0,46.90441070899087,0.62
59721d1e-fa7d-433e-b331-da371be66ca8,2026-05-08T11:15:02.868832,NESTLEIND,CALL,INTRADAY,A-,65.0,,,,,,Premium breakout above 1494.80 zone,Spot closes below VWAP or 1487.33,1502.27 (1:1 RR),1509.75 (1:2 RR),1:2,RANGEBOUND,15.0,76.5144415487698,1.04
37d8fff1-9ce3-4772-9699-e5578a8dbcab,2026-05-08T11:15:03.348444,MPHASIS,PUT,INTRADAY,B,60.0,,,,,,Premium breakdown below 2202.00 zone,Spot reclaims VWAP or 2213.01,2190.99 (1:1 RR),2179.98 (1:2 RR),1:2,RANGEBOUND,15.0,46.90441070899087,0.61
cfb46f42-30c4-4240-91f2-47f8f51339be,2026-05-08T11:20:46.055051,NESTLEIND,CALL,INTRADAY,A-,65.0,,,,,,Premium breakout above 1494.50 zone,Spot closes below VWAP or 1487.03,1501.97 (1:1 RR),1509.44 (1:2 RR),1:2,RANGEBOUND,15.0,72.65904515189341,1.04
dba12dba-1ae1-4ab9-83ca-44a7220aaaf7,2026-05-08T11:26:00.433768,KALYANKJIL,PUT,INTRADAY,B,60.0,,,,,,Premium breakdown below 410.35 zone,Spot reclaims VWAP or 412.40,408.30 (1:1 RR),406.25 (1:2 RR),1:2,RANGEBOUND,15.0,42.670463162400225,0.43
d8a2d791-e021-4b93-83fb-a2dbcddb093a,2026-05-08T11:32:23.449054,BANKINDIA,PUT,INTRADAY,A-,65.0,,,,,,Premium breakdown below 139.55 zone,Spot reclaims VWAP or 140.25,138.85 (1:1 RR),138.15 (1:2 RR),1:2,RANGEBOUND,15.0,30.011806654564168,0.7
a676081a-efe0-467d-af1f-3468e191ae36,2026-05-08T11:35:08.751802,BANKINDIA,PUT,INTRADAY,A-,65.0,,,,,,Premium breakdown below 139.30 zone,Spot reclaims VWAP or 140.00,138.60 (1:1 RR),137.91 (1:2 RR),1:2,RANGEBOUND,15.0,30.011806654564168,0.7
1220cf31-567e-4226-bcfd-12ce1e403812,2026-05-08T11:41:42.514884,PNB,PUT,INTRADAY,B,55.0,,,,,,Premium breakdown below 108.00 zone,Spot reclaims VWAP or 108.54,107.46 (1:1 RR),106.92 (1:2 RR),1:2,RANGEBOUND,15.0,41.74907519142657,0.65
7fb59b01-bc43-4540-8493-7e32c77635d6,2026-05-08T11:45:04.480120,PNB,PUT,INTRADAY,B,55.0,,,,,,Premium breakdown below 107.90 zone,Spot reclaims VWAP or 108.44,107.36 (1:1 RR),106.82 (1:2 RR),1:2,RANGEBOUND,15.0,41.74907519142657,0.65
d221304b-c1b5-4a4a-b39d-5af278362252,2026-05-08T11:52:17.353778,TITAN,PUT,INTRADAY,B,55.0,,,,,,Premium breakdown below 4298.20 zone,Spot reclaims VWAP or 4319.69,4276.71 (1:1 RR),4255.22 (1:2 RR),1:2,RANGEBOUND,15.0,45.15966831196215,0.58
a5bedfbf-f7c4-4051-b173-505be7ad69a4,2026-05-08T11:55:03.628195,TITAN,PUT,INTRADAY,B,55.0,,,,,,Premium breakdown below 4293.00 zone,Spot reclaims VWAP or 4314.47,4271.53 (1:1 RR),4250.07 (1:2 RR),1:2,RANGEBOUND,15.0,45.15966831196215,0.57
fbbe2de6-09a0-4865-a140-1f7ba1524ac2,2026-05-08T12:01:06.908541,AXISBANK,PUT,INTRADAY,B,55.0,,,,,,Premium breakdown below 1275.60 zone,Spot reclaims VWAP or 1281.98,1269.22 (1:1 RR),1262.84 (1:2 RR),1:2,RANGEBOUND,15.0,67.99126927023141,0.68
1e995629-ba3b-4374-8215-4a5a992c7d28,2026-05-08T12:15:22.916509,OFSS,CALL,INTRADAY,A-,70.0,,,,,,Premium breakout above 9331.00 zone,Spot closes below VWAP or 9284.34,9377.66 (1:1 RR),9424.31 (1:2 RR),1:2,RANGEBOUND,15.0,31.79378890418303,1.12
fd2108a1-5bae-43f5-a130-da12aee8918e,2026-05-08T12:20:01.510957,OFSS,CALL,INTRADAY,A-,70.0,,,,,,Premium breakout above 9329.00 zone,Spot closes below VWAP or 9282.35,9375.65 (1:1 RR),9422.29 (1:2 RR),1:2,RANGEBOUND,15.0,31.79378890418303,1.12
75549526-5854-463b-b801-28fdd004ee2e,2026-05-08T12:25:24.446542,GODREJCP,PUT,INTRADAY,A-,65.0,,,,,,Premium breakdown below 1041.20 zone,Spot reclaims VWAP or 1046.41,1035.99 (1:1 RR),1030.79 (1:2 RR),1:2,RANGEBOUND,15.0,48.905580560132286,0.47
88ddbf19-3f13-4c42-931e-82bd193a89da,2026-05-08T12:25:17.160170,OFSS,CALL,INTRADAY,B,55.0,,,,,,Premium breakout above 9303.50 zone,Spot closes below VWAP or 9256.98,9350.02 (1:1 RR),9396.53 (1:2 RR),1:2,RANGEBOUND,15.0,26.246098045458282,1.12
7c3bb8d2-7a26-45be-bfe3-eacbaa4cf182,2026-05-08T12:30:02.693364,GODREJCP,PUT,INTRADAY,A-,65.0,,,,,,Premium breakdown below 1041.20 zone,Spot reclaims VWAP or 1046.41,1035.99 (1:1 RR),1030.79 (1:2 RR),1:2,RANGEBOUND,15.0,48.905580560132286,0.47
4b2882cd-db52-4035-9b25-83fbeed8b44d,2026-05-08T12:30:01.840509,OFSS,CALL,INTRADAY,B,55.0,,,,,,Premium breakout above 9330.50 zone,Spot closes below VWAP or 9283.85,9377.15 (1:1 RR),9423.81 (1:2 RR),1:2,RANGEBOUND,15.0,26.246098045458282,1.12
