id,timestamp,symbol,direction,trade_type,confidence,gate_score,strike,expiry,option_type,premium,iv,entry_zone,stop_loss,target_1,target_2,rr_ratio,regime_type,vix_level,rsi_value,pcr_value
6a634484-f59e-42d9-9823-8927525aef76,2026-05-07T09:15:59.694884,OFSS,CALL,INTRADAY,A-,65.0,,,,,,Premium breakout above 9532.50 zone,Spot closes below VWAP or 9484.84,9580.16 (1:1 RR),9627.83 (1:2 RR),1:2,TRENDING_BULLISH,15.0,84.36419549195537,1.1
08ebc703-b359-46b8-9c65-e8b95031bc41,2026-05-07T09:16:00.293155,POWERINDIA,CALL,INTRADAY,B,60.0,,,,,,Premium breakout above 33710.00 zone,Spot closes below VWAP or 33541.45,33878.55 (1:1 RR),34047.10 (1:2 RR),1:2,TRENDING_BULLISH,15.0,66.42923486728525,0.86
80713e13-72d4-45e0-aed9-2c2f1ce95cf7,2026-05-07T09:15:59.245499,ADANIPOWER,CALL,INTRADAY,B,55.0,,,,,,Premium breakout above 230.96 zone,Spot closes below VWAP or 229.81,232.11 (1:1 RR),233.27 (1:2 RR),1:2,TRENDING_BULLISH,15.0,70.86759964880447,0.7
1724d171-f374-4ce8-a07d-48732844a1df,2026-05-07T09:20:02.682441,OFSS,CALL,INTRADAY,B,60.0,,,,,,Premium breakout above 9469.00 zone,Spot closes below VWAP or 9421.66,9516.34 (1:1 RR),9563.69 (1:2 RR),1:2,TRENDING_BULLISH,15.0,84.36419549195537,1.12
4580851f-dc53-4df9-a0a8-37198b9ec4fc,2026-05-07T09:20:02.881153,POWERINDIA,CALL,INTRADAY,B,60.0,,,,,,Premium breakout above 33910.00 zone,Spot closes below VWAP or 33740.45,34079.55 (1:1 RR),34249.10 (1:2 RR),1:2,TRENDING_BULLISH,15.0,66.42923486728525,0.88
1c079e06-37ee-4f5a-a3e8-8e0e4e3b68cc,2026-05-07T09:20:02.407977,ADANIPOWER,CALL,INTRADAY,B,55.0,,,,,,Premium breakout above 230.62 zone,Spot closes below VWAP or 229.47,231.77 (1:1 RR),232.93 (1:2 RR),1:2,TRENDING_BULLISH,15.0,70.86759964880447,0.7
e170d44c-79be-4147-82cb-da0182a15858,2026-05-07T09:41:07.402036,NAM-INDIA,CALL,INTRADAY,B,55.0,,,,,,Premium breakout above 1094.30 zone,Spot closes below VWAP or 1087.52,1101.08 (1:1 RR),1107.86 (1:2 RR),1:2,TRENDING_BULLISH,15.0,56.449406940057706,0.4
b0204664-7f20-45d2-8ea8-d9a459af811d,2026-05-07T09:45:02.641171,NAM-INDIA,CALL,INTRADAY,B,55.0,,,,,,Premium breakout above 1095.80 zone,Spot closes below VWAP or 1089.02,1102.58 (1:1 RR),1109.36 (1:2 RR),1:2,TRENDING_BULLISH,15.0,56.449406940057706,0.41
bc97ab04-8692-499b-a6a1-c99017f66cc9,2026-05-07T10:01:47.307944,ADANIPOWER,CALL,INTRADAY,B,55.0,,,,,,Premium breakout above 231.20 zone,Spot closes below VWAP or 230.04,232.36 (1:1 RR),233.51 (1:2 RR),1:2,RANGEBOUND,15.0,62.8070892770427,0.7
205e52c3-414a-487b-b00b-a8385a8f25a3,2026-05-07T10:30:01.061750,ADANIPOWER,CALL,INTRADAY,B,60.0,,,,,,Premium breakout above 232.84 zone,Spot closes below VWAP or 231.68,234.00 (1:1 RR),235.17 (1:2 RR),1:2,TRENDING_BULLISH,15.0,75.85825188078432,0.71
39f59e02-b1a4-4e3e-ba94-39ac2defef9e,2026-05-07T10:30:01.539032,AMBER,CALL,INTRADAY,B,60.0,,,,,,Premium breakout above 8925.00 zone,Spot closes below VWAP or 8874.27,8975.73 (1:1 RR),9026.45 (1:2 RR),1:2,TRENDING_BULLISH,15.0,76.57323669524581,0.48
623e420f-1ab2-46c9-953c-2784598535db,2026-05-07T10:30:01.723108,IDEA,CALL,INTRADAY,B,55.0,,,,,,Premium breakout above 11.23 zone,Spot closes below VWAP or 11.17,11.29 (1:1 RR),11.34 (1:2 RR),1:2,TRENDING_BULLISH,15.0,57.539552012899485,0.55
0706243d-7760-49c6-ab87-7db79dd683fb,2026-05-07T10:35:18.591383,ADANIGREEN,CALL,INTRADAY,B,55.0,,,,,,Premium breakout above 1362.60 zone,Spot closes below VWAP or 1355.79,1369.41 (1:1 RR),1376.23 (1:2 RR),1:2,TRENDING_BULLISH,15.0,57.15847400876002,0.71
e370d793-f0b5-4f62-9a46-578dcc59e7c5,2026-05-07T10:40:03.602247,ADANIGREEN,CALL,INTRADAY,B,55.0,,,,,,Premium breakout above 1378.00 zone,Spot closes below VWAP or 1371.11,1384.89 (1:1 RR),1391.78 (1:2 RR),1:2,TRENDING_BULLISH,15.0,57.15847400876002,0.71
d3a8b381-c42d-4092-a038-67fa498bdefe,2026-05-07T10:45:19.733049,NAM-INDIA,CALL,INTRADAY,B,55.0,,,,,,Premium breakout above 1098.40 zone,Spot closes below VWAP or 1092.91,1103.89 (1:1 RR),1109.38 (1:2 RR),1:2,TRENDING_BULLISH,15.0,65.25161257624987,0.42
81060cc8-12c7-40da-a9b3-f9605da14ab3,2026-05-07T11:15:30.039032,WIPRO,PUT,INTRADAY,A-,65.0,,,,,,Premium breakdown below 198.18 zone,Spot reclaims VWAP or 199.17,197.19 (1:1 RR),196.20 (1:2 RR),1:2,MEAN_REVERTING,15.0,26.465473356343708,0.51
98d54cad-1bac-426b-8d7e-511cabdaf40a,2026-05-07T11:20:01.531349,WIPRO,PUT,INTRADAY,A-,65.0,,,,,,Premium breakdown below 198.15 zone,Spot reclaims VWAP or 199.14,197.16 (1:1 RR),196.17 (1:2 RR),1:2,MEAN_REVERTING,15.0,26.465473356343708,0.51
ca1d78b4-6862-4625-8350-c0c34efdc8cb,2026-05-07T12:05:43.481864,ADANIENT,CALL,INTRADAY,A-,65.0,,,,,,Premium breakout above 2529.30 zone,Spot closes below VWAP or 2516.65,2541.95 (1:1 RR),2554.59 (1:2 RR),1:2,TRENDING_BULLISH,15.0,57.90878722000919,0.8
3bec91ef-69b6-4cf4-8ef7-6082cc072b00,2026-05-07T13:15:50.974326,POWERINDIA,CALL,INTRADAY,B,60.0,,,,,,Premium breakout above 34635.00 zone,Spot closes below VWAP or 34461.82,34808.18 (1:1 RR),34981.35 (1:2 RR),1:2,TRENDING_BULLISH,15.0,69.28303595973063,0.99
d5130f3e-4f78-4247-8354-e5c1f2f8304f,2026-05-07T13:15:53.049595,IDEA,CALL,INTRADAY,B,55.0,,,,,,Premium breakout above 11.25 zone,Spot closes below VWAP or 11.19,11.31 (1:1 RR),11.36 (1:2 RR),1:2,TRENDING_BULLISH,15.0,59.16860793535319,0.55
1ca2823f-fbc8-473d-b9d0-de05d0d9fd28,2026-05-07T13:20:02.218556,POWERINDIA,CALL,INTRADAY,B,60.0,,,,,,Premium breakout above 34635.00 zone,Spot closes below VWAP or 34461.82,34808.18 (1:1 RR),34981.35 (1:2 RR),1:2,MEAN_REVERTING,15.0,69.28303595973063,0.99
