id,timestamp,symbol,direction,trade_type,confidence,gate_score,strike,expiry,option_type,premium,iv,entry_zone,stop_loss,target_1,target_2,rr_ratio,regime_type,vix_level,rsi_value,pcr_value
a9552d4c-c751-4a7c-a336-f58248de0efd,2026-05-12T09:15:57.127069,MCX,CALL,INTRADAY,B,60.0,,,,,,Premium breakout above 3248.40 zone,Spot closes below VWAP or 3232.16,3264.64 (1:1 RR),3280.88 (1:2 RR),1:2,RANGEBOUND,15.0,78.22478290822566,0.99
1355b6ae-2f9a-4191-be49-d1285a56e513,2026-05-12T09:15:56.003191,ADANIENSOL,CALL,INTRADAY,B,55.0,,,,,,Premium breakout above 1353.80 zone,Spot closes below VWAP or 1344.76,1362.84 (1:1 RR),1371.89 (1:2 RR),1:2,RANGEBOUND,15.0,74.7974552318741,0.53
a60cead8-1d64-4d4f-8778-b5eb9c2d1914,2026-05-12T09:16:03.955829,DALBHARAT,PUT,INTRADAY,B,55.0,,,,,,Premium breakdown below 1778.20 zone,Spot reclaims VWAP or 1787.09,1769.31 (1:1 RR),1760.42 (1:2 RR),1:2,RANGEBOUND,15.0,72.65049308014854,0.59
732c3622-355d-444b-a95f-297b1e4f576f,2026-05-12T09:20:03.247755,PNB,PUT,INTRADAY,B,55.0,,,,,,Premium breakdown below 104.57 zone,Spot reclaims VWAP or 105.09,104.05 (1:1 RR),103.52 (1:2 RR),1:2,TRENDING_BEARISH,15.0,22.679134198792013,0.63
fc827066-fb06-4b4c-8c58-f5b230070e99,2026-05-12T09:25:24.565382,DALBHARAT,PUT,INTRADAY,B,60.0,,,,,,Premium breakdown below 1764.50 zone,Spot reclaims VWAP or 1773.32,1755.68 (1:1 RR),1746.86 (1:2 RR),1:2,TRENDING_BEARISH,15.0,40.891368701359724,0.59
00fdcba0-ca8b-441f-8ea0-9794034a05f4,2026-05-12T09:30:01.549036,DALBHARAT,PUT,INTRADAY,B,60.0,,,,,,Premium breakdown below 1764.30 zone,Spot reclaims VWAP or 1773.12,1755.48 (1:1 RR),1746.66 (1:2 RR),1:2,TRENDING_BEARISH,15.0,40.891368701359724,0.6
ef8dd46a-2e2e-4eee-9184-6a1d128bea4b,2026-05-12T10:51:02.072363,INDUSTOWER,PUT,INTRADAY,B,55.0,,,,,,Premium breakdown below 406.90 zone,Spot reclaims VWAP or 408.93,404.87 (1:1 RR),402.83 (1:2 RR),1:2,TRENDING_BEARISH,15.0,31.067016188653,0.57
72ed0778-440e-4569-9d69-14e24d5d066c,2026-05-12T10:55:53.441196,UNIONBANK,PUT,INTRADAY,A-,65.0,,,,,,Premium breakdown below 163.78 zone,Spot reclaims VWAP or 164.60,162.96 (1:1 RR),162.14 (1:2 RR),1:2,TRENDING_BEARISH,15.0,45.72332326810618,0.44
5feeebd1-1bec-4b71-891c-3731b4b9a30a,2026-05-12T11:00:01.184103,UNIONBANK,PUT,INTRADAY,A-,65.0,,,,,,Premium breakdown below 163.90 zone,Spot reclaims VWAP or 164.72,163.08 (1:1 RR),162.26 (1:2 RR),1:2,TRENDING_BEARISH,15.0,45.72332326810618,0.44
48495410-fff0-4b71-9c7b-eac7e269001f,2026-05-12T11:15:25.887989,APLAPOLLO,PUT,INTRADAY,B,60.0,,,,,,Premium breakdown below 1894.70 zone,Spot reclaims VWAP or 1904.17,1885.23 (1:1 RR),1875.75 (1:2 RR),1:2,TRENDING_BEARISH,15.0,24.021333276193616,0.66
