id,timestamp,symbol,direction,trade_type,confidence,gate_score,strike,expiry,option_type,premium,iv,entry_zone,stop_loss,target_1,target_2,rr_ratio,regime_type,vix_level,rsi_value,pcr_value
1dc9a0ea-5723-405f-80c0-822f020250e4,2026-05-06T12:41:03.376407,BSE,CALL,INTRADAY,B,50.0,,,,,,Premium breakout above 3806.00 zone,Spot closes below VWAP or 3786.97,3825.03 (1:1 RR),3844.06 (1:2 RR),1:2,MEAN_REVERTING,15.0,46.11730530555899,0.87
3e040578-0b76-40b5-8603-527509b6b3b3,2026-05-06T12:41:05.589774,HCLTECH,PUT,INTRADAY,B,50.0,,,,,,Premium breakdown below 1193.20 zone,Spot reclaims VWAP or 1199.17,1187.23 (1:1 RR),1181.27 (1:2 RR),1:2,MEAN_REVERTING,15.0,37.90284080923929,0.52
152f62a6-a72b-4713-a884-52a7e87ee8fa,2026-05-06T12:41:07.909220,PATANJALI,PUT,INTRADAY,B,50.0,,,,,,Premium breakdown below 456.25 zone,Spot reclaims VWAP or 458.53,453.97 (1:1 RR),451.69 (1:2 RR),1:2,MEAN_REVERTING,15.0,42.378214944765794,0.59
b485fdcc-82c0-4971-99e6-9e91f5cbe6d2,2026-05-06T12:40:54.343703,BHEL,CALL,INTRADAY,B,45.0,,,,,,Premium breakout above 382.40 zone,Spot closes below VWAP or 380.49,384.31 (1:1 RR),386.22 (1:2 RR),1:2,MEAN_REVERTING,15.0,51.843822453793614,0.85
6ac33e0c-310a-4e5e-a04e-c95ef70d1602,2026-05-06T12:40:55.800385,ADANIENSOL,CALL,INTRADAY,B,45.0,,,,,,Premium breakout above 1400.50 zone,Spot closes below VWAP or 1393.50,1407.50 (1:1 RR),1414.51 (1:2 RR),1:2,MEAN_REVERTING,15.0,36.233372060650154,0.79
5e1e3785-5fb8-4575-86c5-b3eefd6eb2ac,2026-05-06T12:40:59.428263,INOXWIND,CALL,INTRADAY,B,45.0,,,,,,Premium breakout above 106.65 zone,Spot closes below VWAP or 106.12,107.18 (1:1 RR),107.72 (1:2 RR),1:2,MEAN_REVERTING,15.0,54.85633275944427,0.49
d4ec8cfe-341e-4914-9c8c-9208cf6647ba,2026-05-06T12:41:01.929158,KEI,CALL,INTRADAY,B,45.0,,,,,,Premium breakout above 5177.50 zone,Spot closes below VWAP or 5151.61,5203.39 (1:1 RR),5229.27 (1:2 RR),1:2,MEAN_REVERTING,15.0,28.995785685860085,0.84
45ad1f4e-8dbb-4925-bc53-3ade51d490e3,2026-05-06T12:41:04.055234,IDEA,CALL,INTRADAY,B,45.0,,,,,,Premium breakout above 11.18 zone,Spot closes below VWAP or 11.12,11.24 (1:1 RR),11.29 (1:2 RR),1:2,MEAN_REVERTING,15.0,30.75584181040651,0.55
a16a46cd-f45c-4797-a67e-f40707ab2127,2026-05-06T12:41:06.070964,INFY,PUT,INTRADAY,B,45.0,,,,,,Premium breakdown below 1170.70 zone,Spot reclaims VWAP or 1176.55,1164.85 (1:1 RR),1158.99 (1:2 RR),1:2,MEAN_REVERTING,15.0,35.67353689646174,0.57
bffb634d-bfbe-4a9e-8697-39e7048a213e,2026-05-06T12:41:08.671350,TCS,PUT,INTRADAY,B,45.0,,,,,,Premium breakdown below 2420.90 zone,Spot reclaims VWAP or 2433.00,2408.80 (1:1 RR),2396.69 (1:2 RR),1:2,MEAN_REVERTING,15.0,35.51373706352176,0.68
